distance	rate
0.9144	0.19
0.9144	0.23
0.9144	0.23
0.9144	0.23
2.7432	0.22
2.7432	0.23
2.7432	0.23
2.7432	0.23
4.572	0.2
4.572	0.22
4.572	0.22
4.572	0.22
4.572	0.22
4.572	0.2
4.572	0.22
4.572	0.21
4.572	0.22
4.572	0.21
4.572	0.22
4.572	0.21
5.4864	0.11
5.4864	0.23
5.4864	0.23
5.4864	0.12
8.2296	0.22
8.2296	0.08
8.2296	0.17
8.2296	0.22
9.144	0.2
9.144	0.2
9.144	0.18
9.144	0.13
9.144	0.09
9.144	0.08
9.144	0.18
9.144	0.09
9.144	0.13
9.144	0.06
9.144	0.07
9.144	0.05
11.8872	0
11.8872	0
11.8872	0.02
11.8872	0.09
11.8872	0.01
11.8872	0.17
13.716	0
13.716	0
13.716	0.02
13.716	0.01
13.716	0.2
13.716	0.21
13.716	0.22
13.716	0.22
18.288	0
18.288	0
18.288	0
18.288	0
18.288	0.01
18.288	0.03
18.288	0.02
18.288	0.09
18.288	0.17
18.288	0.21
18.288	0.22
18.288	0.21
18.288	0.01
18.288	0.01
18.288	0.05
18.288	0.02
18.288	0.03
22.86	0
22.86	0
22.86	0.02
22.86	0.08
22.86	0.15
22.86	0.16
22.86	0.11
22.86	0.13
24.6888	0.16
24.6888	0.2
24.6888	0.2
27.432	0
27.432	0
27.432	0.01
27.432	0.07
27.432	0.15
27.432	0.13
27.432	0.13
27.432	0.06
27.432	0.15
27.432	0.02
27.432	0.21
27.432	0.04
28.3464	0.19
28.3464	0.18
28.3464	0.13
28.3464	0.09
32.004	0
32.004	0
32.004	0.01
32.004	0.03
32.004	0.2
32.004	0.21
32.004	0.19
32.004	0.17
33.8328	0.06
33.8328	0.12
33.8328	0.16
33.8328	0.1
36.576	0
36.576	0
36.576	0
36.576	0
36.576	0.01
36.576	0.03
36.576	0.02
36.576	0.07
36.576	0.18
36.576	0.16
36.576	0.12
36.576	0.12
36.576	0.01
36.576	0.05
36.576	0.09
36.576	0.17
36.576	0.12
36.576	0.08
36.576	0.04
38.4048	0.11
38.4048	0.08
38.4048	0.14
38.4048	0.06
41.148	0
41.148	0
41.148	0.03
41.148	0.08
41.148	0.08
41.148	0.01
41.148	0.01
41.148	0.03
41.148	0.01
41.148	0.02
41.148	0.04
41.148	0.05
45.72	0
45.72	0
45.72	0
45.72	0
45.72	0
45.72	0
45.72	0.01
45.72	0.01
45.72	0.03
45.72	0.02
45.72	0.01
45.72	0.03
45.72	0
45.72	0.04
45.72	0.01
45.72	0.14
45.72	0.02
45.72	0.05
45.72	0.02
45.72	0.12
50.292	0
50.292	0
50.292	0.02
50.292	0.06
50.292	0.19
50.292	0.21
50.292	0.02
50.292	0.19
50.292	0.14
50.292	0.14
50.292	0.16
50.292	0.08
54.864	0
54.864	0
54.864	0
54.864	0
54.864	0
54.864	0
54.864	0.01
54.864	0.01
54.864	0.02
54.864	0.01
54.864	0.01
54.864	0.03
54.864	0.17
54.864	0.18
54.864	0.11
54.864	0.13
54.864	0.15
54.864	0.04
54.864	0.06
54.864	0.1
54.864	0.08
54.864	0.05
59.436	0
59.436	0
59.436	0
59.436	0
59.436	0.02
59.436	0
59.436	0.05
59.436	0.02
59.436	0.19
59.436	0.18
59.436	0.12
59.436	0.1
64.008	0
64.008	0
64.008	0
64.008	0
64.008	0
64.008	0
64.008	0
64.008	0
64.008	0.01
64.008	0
64.008	0.01
64.008	0.01
64.008	0
64.008	0
64.008	0.01
64.008	0.07
64.008	0.03
64.008	0.04
64.008	0.01
64.008	0.06
68.58	0
68.58	0
68.58	0
68.58	0
68.58	0
68.58	0
68.58	0.01
68.58	0.01
68.58	0
68.58	0.09
68.58	0.05
68.58	0.02
73.152	0
73.152	0
73.152	0
73.152	0
73.152	0
73.152	0
73.152	0.02
73.152	0
73.152	0
73.152	0.22
73.152	0.16
73.152	0.06
77.724	0
77.724	0
77.724	0
77.724	0
77.724	0
77.724	0
77.724	0
77.724	0.04
77.724	0.05
77.724	0.04
77.724	0.01
82.296	0
82.296	0
82.296	0
82.296	0
82.296	0
82.296	0
82.296	0.01
82.296	0.01
82.296	0
82.296	0.01
82.296	0.01
82.296	0.01
82.296	0.01
82.296	0.03
82.296	0.06
82.296	0.06
86.868	0
86.868	0
86.868	0
86.868	0
86.868	0.19
86.868	0.09
86.868	0.03
86.868	0.07
91.44	0
91.44	0
91.44	0.01
91.44	0.01
91.44	0
91.44	0.04
91.44	0.03
91.44	0.08
96.012	0
96.012	0
96.012	0.01
96.012	0.07
96.012	0.09
96.012	0
96.012	0.01
100.584	0.19
100.584	0.04
100.584	0.12
100.584	0.11
100.584	0.08
100.584	0.06
100.584	0.09
100.584	0.06
105.156	0
105.156	0
105.156	0
105.156	0.02
109.728	0
109.728	0.06
109.728	0.04
11.8872	0.06
11.8872	0.02
11.8872	0.1
11.8872	0.09
13.716	0
13.716	0
13.716	0
13.716	0
54.864	0.12
54.864	0.16
54.864	0
54.864	0.24
54.864	0.23
54.864	0.21
73.152	0
73.152	0
73.152	0
73.152	0
77.724	0
109.728	0
